Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn In,Aboard,Fatalities,Ground,Summary,City,state/country,country,
3/21/51,,"Corozal, Colombia",LANSA,,,Douglas C-47,,,27,27,,,Corozal, Colombia,,
3/22/51,,Over the North Atlantic,Military - U.S. Air Force,,,Douglas C-124A Globemaster,,,53,53,,,Over the North Atlantic,,,
7/15/66,,Pakistan,Military - Pakistan Air Force,,,Lockheed C-130B Hercules,,,10,10,,,Pakistan,,,
3/22/51,,"Off Florianopolis, Brazil",Cruzeiro,,,Douglas DC-3,,,14,3,,,Off Florianopolis, Brazil,,
3/26/51,,"Rio Grande, Argentina",Aerolineas Argentinas,,,Douglas DC-3,,,20,11,,,Rio Grande, Argentina,,
4/2/51,,"Bogota, Colombia",AVIANCA,,,Douglas DC-3,,,26,26,,,Bogota, Colombia,,
4/6/51,,"Refugio Pass, near Santa Barbara, California",Southwest Airways,7,,Douglas DC-3,,,22,22,,,Refugio Pass, near Santa Barbara, California,
4/8/51,,"Near Charleston, West Virginia",Military - U.S. Air Force,,,Douglas C-47B-DK,,,21,21,,,Near Charleston, West Virginia,,
4/9/51,,"Cape d'Arguilar, Hong Kong",Siamese Airways,,,Douglas DC-3,,,16,16,,,Cape d'Arguilar, Hong Kong,,
4/25/51,,"Key West, Florida",Cubana de Aviacion / Military -  US Navy,493,,Douglas DC-4 /Beechcraft SMB-1,,,43,43,,,Key West, Florida,,
4/28/51,,"Fort Wayne, Indiana",United Air Lines,129,,Douglas DC-3,,,11,11,,,Fort Wayne, Indiana,,
5/6/51,,"Near Albuquerque, New Mexico",Military - U.S. Air Force,,,Convair B-36D,,,25,23,,,Near Albuquerque, New Mexico,,
5/8/51,,"Bordeaux, France",Hunting Air Travel,,,Vickers 639 Viking 1,,,32,2,,,Bordeaux, France,,
5/18/51,,"Rancharia,  Brazil",VASP,,,Douglas DC-3,,,6,6,,,Rancharia,  Brazil,,
6/3/51,,"New Boston, Texas",Military - U.S. Air Force,,,Fairchild C-82,,,10,10,,,New Boston, Texas,,
6/6/51,,"Rio de Janeiro, Brazil",Lineas A̩reas Trans. Brasileira,,,Douglas DC-3D,,,19,2,,,Rio de Janeiro, Brazil,,
6/15/51,,"Medellin, Colombia",Sociedad Aeronautica Medellin,,,Douglas C-47A,,,3,3,,,Medellin, Colombia,,
6/22/51,,"Near Sanoyea, Liberia",Pan American World Airways,151,,Lockheed 049 Constellation,,,40,40,,,Near Sanoyea, Liberia,,
6/29/51,,"Near Rijeka, Yugoslavia",JAT Yugoslav Airlines,,,Junkers 52/3m,,,14,14,,,Near Rijeka, Yugoslavia,,
7/12/51,,"Near Tezpur, India",Indamer,,,Douglas C-47B,,,3,3,,,Near Tezpur, India,,
7/12/51,,"Aracaju, Brazil",Loide Aereo Nacional,,,Douglas DC-3,,,33,33,,,Aracaju, Brazil,,
11/13/51,,"Puy-de-D̫me, France",Military - U. S. Air Force,,,Fairchild C-82 Packet,,,36,36,,,Puy-de-D̫me, France,,
7/12/51,,"Lyneham AFB, England",Military - Royal Air Force,,,Vickers Valetta C-1,,,10,10,,,Lyneham AFB, England,,
7/16/51,,"Off Lae, New Guinea",Qantas,,,de Havilland DHA-3 Drover II,,,7,7,,,Off Lae, New Guinea,,
7/20/51,,"Thudamot, China",Air Outre-Mer,,,Douglas C-47A,,,3,3,,,Thudamot, China,,
7/21/51,,"Near Sitka, Alaska",Canadian PacifiAir Lines,,,Douglas C-54A,,,37,37,,,Near Sitka, Alaska,,
7/24/51,,"Gao, Mali",Sabena,,,Douglas DC-3,,,3,3,,,Gao, Mali,,
7/29/51,,"Cochabamba, Bolivia",Loide A̩reo Nacional,,,Curtiss C-46A,,,7,7,,,Cochabamba, Bolivia,,
8/8/51,,"Barilla Bay, Australia",Trans Australia Airlines,,,,,,2,2,,,Barilla Bay, Australia,,
8/11/51,,"Moisville, France",Air France,,,Douglas DC-3D,,,5,5,,,Moisville, France,,
8/17/51,,"Ubatuba, Brazil",REAL,,,Douglas DC-3,,,10,10,,,Ubatuba, Brazil,,
8/24/51,,"Decoto, California",United Air Lines,615,,Douglas DC-6B,,,50,50,,,Decoto, California,,
9/8/51,,"Sao Paulo, Brazil",VASP,,,Douglas DC-3,,,13,13,,,Sao Paulo, Brazil,,
9/12/51,,"Off Redwood City, California",United Air Lines,,,Boeing 377 Stratocruiser 10-34,,,3,3,,,Off Redwood City, California,,
9/12/51,,"Off Ialas Baeares, Spain",Societe Alpes Provence,,,Douglas DC-3,,,39,39,,,Off Ialas Baeares, Spain,,
9/15/51,,"Bangalore, India",Air India,,,Douglas C-47A-30-DK Dakota III,,,28,22,,,Bangalore, India,,
9/29/51,,"La Paz, Bolivia",Frigorifico Cooperativo Los Andes,,,Curtiss C-46D-15-CU,,,27,27,,,La Paz, Bolivia,,
10/8/51,,"Cerro Blanco, Mexico",Aero Transportes,,,Douglas DC-3,,,8,8,,,Cerro Blanco, Mexico,,
10/15/51,,"East Griqualand, South Africa",South African Airways,,,Douglas DC-3,,,17,17,,,East Griqualand, South Africa,,
10/15/51,,North Atlantic,Military - U.S. Air Force,,,Boeing C-97A Stratofreighter,,,12,12,,,North Atlantic,,,
10/17/51,,"Mt. Benson, BC, Canada",Queen Charlotte Airlines,,,Consolidated PBY-5A Catalina,,,23,23,,,Mt. Benson, BC, Canada,
10/22/51,,"Skopje, Yugoslavia",JAT Yugoslav Airlines,,,Douglas DC-3,,,12,12,,,Skopje, Yugoslavia,,
10/27/51,,"Near Flores, Guatemala",Military - Guatemalan Air Force,,,Douglas C-47,,,27,25,,,Near Flores, Guatemala,,
11/5/51,,"Near Tucumcari, Arazona",Transocean Air Lines,CAM5763,,Martin 202,,,29,1,,,Near Tucumcari, Arazona,,
11/19/51,,"Cairo, Egypt",Devlet Hava Yollari,,,Douglas DC-3,,,5,5,,,Cairo, Egypt,,
11/21/51,,"Calcutta, India",Deccan Airways,,,Douglas DC-3,,,17,16,,,Calcutta, India,,
11/24/51,,"Zurich, Switzerland",El Al,,,Douglas DC-4,,,7,6,,,Zurich, Switzerland,,
11/27/51,,"San Luis Acatlan, Mexico",Lineas Aereas Unidas,,,DC-2-243,,,21,13,,,San Luis Acatlan, Mexico,,
12/4/51,,"Denver, Colorado",United Air Lines,,,Douglas DC-3A,,,3,3,,,Denver, Colorado,,
12/13/51,,"Yaramunda, Papua New Guinea",Qantas,,,de Havilland DH-84,,,3,3,,,Yaramunda, Papua New Guinea,,
12/16/51,,"Elizabeth, New Jersey",Miami Airlines,,,Curtiss Wright C-46F,,,56,56,,,Elizabeth, New Jersey,,
12/23/51,,"Tehran, Iran",Misrair,,,SNCASE Languedoc,,,22,22,,,Tehran, Iran,,
12/29/51,,"Near Little Valley, New York",Continental Charters,44-2,,Curtiss C-46A-50-CU,,,40,26,,,Near Little Valley, New York,,
12/30/51,,"Near Fairbanks, Alaska",Transocean Air Lines,501,,Curtiss C 46F-CU,,,4,4,,,Near Fairbanks, Alaska,,
12/30/51,,"Near Phoenix, Arizona",Military - U.S. Air Force,,,Douglas C-47D,,,28,28,,,Near Phoenix, Arizona,,
12/31/51,,"Calcutta, India",Kalinga Airlines,,,Douglas C-47A,,,3,3,,,Calcutta, India,,
1/2/52,,"Andapa, Madagascar",Air France,,,Junkers JU-52/3m,,,11,6,,,Andapa, Madagascar,,
1/10/52,,"Com Edno, Wales",Aer Lingus,,,Douglas DC-3,,,23,23,,,Com Edno, Wales,,
1/19/52,,"Off Sandspit, BC, Canada",Northwest Orient Airlines,324,,Douglas DC-4,,,43,36,,,Off Sandspit, BC, Canada,
1/22/52,,"Elizabeth, New Jersey",American Airlines,6780,,Convair CV-240-0,,,23,23,,,Elizabeth, New Jersey,,
